,Title,Source,Description,Link,Time
57,"Zelensky, Macron mull ""practical steps"" to deploy peacekeepers in Ukraine",Newsweek,Ukrainian President Volodymyr Zelensky spoke on the phone with his French counterpart Emmanuel... ,https://www.newsweek.com/zelensky-macron-mull-practical-steps-deploy-peacekeepers-ukraine-2014503,1 day ago
58,Polish PM Donald Tusk accuses Russia of planning acts of terrorism against...,The Independent US ·  via AOL,"The explosions occurred in depots in Britain, Germany and Poland in July. Speaking at a press... ",https://www.aol.com/polish-pm-donald-tusk-accuses-155459437.html,3 hours ago
59,Zelensky: Russia Carried Out 'Massive' Attack in Ukraine,newser,"""It's the middle of winter, and the target for the Russians remains the same: our energy sector,""... ",https://www.newser.com/story/362548/zelensky-russia-carried-out-massive-attack-in-ukraine.html,5 hours ago
60,"Israel, Hamas reach ceasefire after 15 months of brutal war in Gaza",MSNBC ·  via Yahoo News,"Israel and Hamas have reached a ceasefire agreement, after more than 15 months of destructive... ",https://www.yahoo.com/news/israel-hamas-reach-ceasefire-15-172204182.html?fr=sycsrp_catchall,1 hour ago
61,Israel and Hamas reach ceasefire and hostage release deal,ABC News,"A ceasefire deal has been reached between Israel and Hamas, more than 15 months into the conflict.... ",https://abcnews.go.com/International/ceasefire-deal-reached-israel-hamas/story?id=106870619,40 minutes ago
62,Israel-Gaza ceasefire live: Deal to begin on Sunday as Hamas accepts deal to...,The Independent ·  via Yahoo News,"Hamas has accepted a ceasefire deal with Israel, bringing an end to 15 months of war that have... ",https://www.yahoo.com/news/israel-gaza-ceasefire-live-hamas-191927982.html?fr=sycsrp_catchall,33 minutes ago
63,Israel-Hamas ceasefire and hostage release deal reached,CBS News ·  via Yahoo News,"After intense negotiations, Israel and Hamas have reached a deal that would see a ceasefire and the... ",https://www.yahoo.com/news/israel-hamas-ceasefire-hostage-release-170724829.html?fr=sycsrp_catchall,55 minutes ago
64,Israel and Hamas agree to ceasefire days before Trump takes power,The Telegraph ·  via Yahoo News,"Some Israelis rejoiced at the news of a deal, which should see the return of the hostages - Ronen... ",https://www.yahoo.com/news/israel-hamas-agree-ceasefire-days-204620454.html?fr=sycsrp_catchall,35 minutes ago
65,Biden pointedly notes that he ‘introduced’ Israel-Hamas ceasefire deal after...,The Independent ·  via Yahoo News,Hamas and Israel have reached a ceasefire deal brokered by the United States with the aid of the... ,https://www.yahoo.com/news/biden-says-israel-hamas-reached-185955561.html?fr=sycsrp_catchall,59 minutes ago
66,"Israel, Hamas agree to cease-fire, exchange of hostages, prisoners",UPI,"On Wednesday, a cease-fire was announced that will end the 15-month war between Hamas and Israel and... ",https://www.upi.com/Top_News/World-News/2025/01/15/gaza-cease-fire-agreement/7601736968653/,2 hours ago
67,International community reacts to Israel and Hamas ceasefire deal,ABC News ·  via Yahoo News,"After 15 months of conflict, Israel and Hamas have reached a ceasefire deal. After too many months... ",https://www.yahoo.com/news/international-community-reacts-israel-hamas-204400444.html?fr=sycsrp_catchall,41 minutes ago
68,"Israel and Hamas reach deal on Gaza ceasefire, hostage release",USA TODAY ·  via Yahoo News,"After months of deadlock and more than 15 months of war, Israel and the militant group Hamas reached... ",https://www.yahoo.com/news/israel-hamas-reach-deal-gaza-171359266.html?fr=sycsrp_catchall,4 hours ago
69,Analysis: When will ocean carriers return to the Red Sea?,FreightWaves ·  via Yahoo News,"Israel and Hamas agree to a ceasefire, raising questions as to when major container lines will... ",https://www.yahoo.com/news/analysis-ocean-carriers-return-red-210858581.html?fr=sycsrp_catchall,16 minutes ago
70,"Biden takes credit for ceasefire deal, brushes off Trump: 'Is that a joke?'",ABC News,The ceasefire and hostage release deal announced Wednesday between Israel and Hamas marks a major... ,https://abcnews.go.com/Politics/biden-trump-seek-credit-ceasefire-hostages-deal-israel/story?id=117710147,41 minutes ago
71,Jill Biden reveals what she and Trump talked about at Notre Dame,Newsweek,First Lady Jill Biden revealed what she and President-elect Donald Trump talked about while... ,https://www.newsweek.com/jill-biden-donald-trump-notre-dame-conversation-2015671,34 minutes ago
72,Biden speech time: How to watch president's farewell address from Oval Office,Axios,President Biden is set to give his farewell speech Wednesday night. Here's what you need to know to... ,https://www.axios.com/2025/01/15/joe-biden-speech-tonight-time-farewell-address,1 hour ago
73,"Jill Biden discusses division with Nancy Pelosi, Notre Dame photo with Donald...",USA TODAY ·  via Yahoo News,First lady Jill Biden in an interview published Wednesday said she's disappointed with former House... ,https://www.yahoo.com/news/jill-biden-discusses-division-nancy-205003304.html?fr=sycsrp_catchall,35 minutes ago
74,Biden balks when asked if Trump deserves credit for Israel-Hamas cease-fire...,Fox News,President Biden balked at a question posed by Fox News senior White House correspondent Jacqui... ,https://www.foxnews.com/politics/biden-balks-asked-trump-deserves-credit-israel-hamas-cease-fire-deal-joke,57 minutes ago
75,President Biden to Deliver His Farewell Address Tonight — Where to Watch,Rolling Stone ·  via Yahoo News,"If you purchase an independently reviewed product or service through a link on our website, Rolling... ",https://www.yahoo.com/news/biden-deliver-farewell-address-tonight-200052323.html?fr=sycsrp_catchall,1 hour ago
76,"Biden hails Gaza deal, says worked with Trump",AFP ·  via Yahoo News,"US President Joe Biden announced Wednesday a ""full and complete"" ceasefire between Israel and Hamas in the first part of their peace accord, and said he... ",https://www.yahoo.com/news/biden-hails-gaza-deal-says-194625615.html?fr=sycsrp_catchall,2 hours ago
77,Biden Says Americans Among Hamas Hostages To Be Released: 'Can Not Wait To...,International Business Times,President Biden confirmed that Americans would be among the hostages released during a ceasefire... ,https://www.ibtimes.com/president-biden-us-hostages-gaza-ceasefire-deal-3759404,2 hours ago
78,Jill Biden Opens Up About 'Disappointing' Role Nancy Pelosi Played In Joe Biden...,HuffPost ·  via Yahoo News,First lady Jill Biden is expressing her disappointment with former House Speaker Nancy Pelosi and... ,https://www.yahoo.com/news/jill-biden-opens-disappointing-role-202829830.html?fr=sycsrp_catchall,56 minutes ago
79,Jill Biden suggests first family feels betrayed by Nancy Pelosi,New York Daily News,Jill Biden suggested in a new interview that the first family still feels betrayed by Nancy Pelosi... ,https://www.nydailynews.com/2025/01/15/jill-biden-feels-betrayed-by-nancy-pelosi-interview/,55 minutes ago
80,California wildfires update: Homeowners could face property tax 'shock',Newsweek,"In the aftermath of devastating wildfires in California, homeowners face an unexpected challenge:... ",https://www.newsweek.com/california-wildfires-update-homeowners-face-property-tax-shock-2015601,2 hours ago
81,What caused the LA wildfires? Here's what we know about the possible origins.,USA TODAY ·  via Yahoo News,"More than a week after a series of windswept wildfires overtook swaths of the Los Angeles area, much... ",https://www.yahoo.com/news/caused-la-wildfires-heres-know-191112149.html?fr=sycsrp_catchall,2 hours ago
82,Opinion | Disaster relief for the California wildfires should not come with...,MSNBC ·  via Yahoo News,It resurfaced last week as Ohio Rep. Warren Davidson blamed California's forest management practices... ,https://www.yahoo.com/news/opinion-disaster-relief-california-wildfires-183253286.html?fr=sycsrp_catchall,1 hour ago
83,‘It’s tedious. It’s dirty. It’s not fun:’ Searching for answers in the wildfire...,CNN ·  via AOL,"A week after wind-whipped wildfires began their deadly rampage through Southern California,... ",https://www.aol.com/tedious-dirty-not-fun-searching-193058441.html,2 hours ago
84,Wildfire weary Los Angeles residents face 'last really windy day': Live updates,USA TODAY ·  via Yahoo News,"PASADENA, Calif. − Firefighters were battling two monstrous wildfires Wednesday as weary residents... ",https://www.yahoo.com/news/los-angeles-fires-bring-risks-111817109.html?fr=sycsrp_catchall,10 hours ago
85,Why California crews aren't relying on the ocean to douse wildfires,The Weather Network ·  via Yahoo News,"Using ocean water to fight wildfires sounds like a simple solution. However, salt water comes with a... ",https://www.yahoo.com/news/why-california-crews-arent-relying-211111912.html?fr=sycsrp_catchall,14 minutes ago
86,"From Baptist churches to Buddhist temples, religious groups volunteer for fire...",NBC News ·  via Yahoo News,"United Sikhs, a global humanitarian organization, is launching an emergency relief campaign to... ",https://www.yahoo.com/news/baptist-churches-buddhist-temples-religious-210445478.html?fr=sycsrp_catchall,20 minutes ago
87,"For LA water issues, misinformation spreads nearly as fast as the wildfires",Associated Press ·  via Yahoo News,A billionaire couple was accused of withholding water that could help stop Los Angeles' massive... ,https://www.yahoo.com/news/la-water-issues-misinformation-spreads-210229267.html?fr=sycsrp_catchall,22 minutes ago
88,Los Angeles continues to face air quality warnings amid wildfires,Newsweek,"Los Angeles continues to remain under an Air Quality Alert, according to the National Weather... ",https://www.newsweek.com/los-angeles-continues-face-air-quality-warnings-amid-wildfires-2015596,2 hours ago
89,"California wildfires could slow the economy and boost inflation, economists say",Market Watch,The devastating wildfires that have destroyed entire neighborhoods in Los Angeles this month are... ,https://www.marketwatch.com/story/california-wildfires-could-slow-the-economy-and-boost-inflation-and-thats-not-even-the-worst-of-it-economists-say-85d2b276,49 minutes ago
